"Regionskode";"Region";"Prøvetagningsdato";"Køn";"Bekræftede tilfælde i alt";"Døde";"Indlæggelser";"Kummuleret antal døde";"Kummuleret antal bekræftede tilfælde";"Kummuleret antal indlæggelser";"timestamp_2025-10-28T10:00:08.409"
1085;Sjælland;2020-02-26;M;1;0;0;0;1;0;
1084;Hovedstaden;2020-02-27;M;1;0;0;0;2;0;
1082;Midtjylland;2020-02-28;M;1;0;0;0;3;0;
1084;Hovedstaden;2020-03-01;M;1;0;1;0;4;1;
1084;Hovedstaden;2020-03-02;M;2;0;1;0;6;2;
1085;Sjælland;2020-03-02;M;1;0;0;0;7;2;
1083;Syddanmark;2020-03-02;M;1;0;0;0;8;2;
1084;Hovedstaden;2020-03-03;F;1;0;0;0;9;2;
1084;Hovedstaden;2020-03-03;M;3;0;1;0;12;3;
1084;Hovedstaden;2020-03-04;M;2;0;0;0;14;3;
1085;Sjælland;2020-03-04;M;1;0;1;0;15;4;
1084;Hovedstaden;2020-03-05;F;4;1;1;1;19;5;
1084;Hovedstaden;2020-03-05;M;6;1;2;2;25;7;
1081;Nordjylland;2020-03-06;M;1;0;0;2;26;7;
1085;Sjælland;2020-03-06;M;1;0;1;2;27;8;
1084;Hovedstaden;2020-03-07;F;5;0;1;2;32;9;
1084;Hovedstaden;2020-03-07;M;3;0;1;2;35;10;
1082;Midtjylland;2020-03-07;M;1;0;0;2;36;10;
1084;Hovedstaden;2020-03-08;F;8;0;0;2;44;10;
1082;Midtjylland;2020-03-08;F;6;0;0;2;50;10;
1085;Sjælland;2020-03-08;F;2;0;1;2;52;11;
1084;Hovedstaden;2020-03-08;M;4;0;1;2;56;12;
1082;Midtjylland;2020-03-08;M;16;0;0;2;72;12;
1081;Nordjylland;2020-03-08;M;1;0;0;2;73;12;
1085;Sjælland;2020-03-08;M;2;0;0;2;75;12;
1083;Syddanmark;2020-03-08;M;8;0;0;2;83;12;
1084;Hovedstaden;2020-03-09;F;25;0;3;2;108;15;
1082;Midtjylland;2020-03-09;F;9;0;1;2;117;16;
1081;Nordjylland;2020-03-09;F;2;0;0;2;119;16;
1085;Sjælland;2020-03-09;F;7;0;4;2;126;20;
1083;Syddanmark;2020-03-09;F;15;0;1;2;141;21;
1084;Hovedstaden;2020-03-09;M;43;0;4;2;184;25;
1082;Midtjylland;2020-03-09;M;34;0;2;2;218;27;
1081;Nordjylland;2020-03-09;M;6;0;0;2;224;27;
1085;Sjælland;2020-03-09;M;28;0;3;2;252;30;
1083;Syddanmark;2020-03-09;M;34;0;1;2;286;31;
1084;Hovedstaden;2020-03-10;F;44;0;4;2;330;35;
1082;Midtjylland;2020-03-10;F;18;0;1;2;348;36;
1081;Nordjylland;2020-03-10;F;4;0;1;2;352;37;
1085;Sjælland;2020-03-10;F;6;0;2;2;358;39;
1083;Syddanmark;2020-03-10;F;8;0;1;2;366;40;
1084;Hovedstaden;2020-03-10;M;70;1;3;3;436;43;
1082;Midtjylland;2020-03-10;M;54;1;4;4;490;47;
1081;Nordjylland;2020-03-10;M;9;0;0;4;499;47;
1085;Sjælland;2020-03-10;M;21;0;4;4;520;51;
1083;Syddanmark;2020-03-10;M;19;0;1;4;539;52;
1084;Hovedstaden;2020-03-11;F;31;0;2;4;570;54;
1082;Midtjylland;2020-03-11;F;11;1;1;5;581;55;
1081;Nordjylland;2020-03-11;F;3;0;0;5;584;55;
1085;Sjælland;2020-03-11;F;12;0;1;5;596;56;
1083;Syddanmark;2020-03-11;F;15;0;1;5;611;57;
1084;Hovedstaden;2020-03-11;M;55;0;3;5;666;60;
1082;Midtjylland;2020-03-11;M;14;1;1;6;680;61;
1081;Nordjylland;2020-03-11;M;20;0;0;6;700;61;
1085;Sjælland;2020-03-11;M;15;0;5;6;715;66;
1083;Syddanmark;2020-03-11;M;27;0;1;6;742;67;
1084;Hovedstaden;2020-03-12;F;9;1;3;7;751;70;
1082;Midtjylland;2020-03-12;F;2;0;2;7;753;72;
1081;Nordjylland;2020-03-12;F;1;0;1;7;754;73;
1085;Sjælland;2020-03-12;F;1;1;1;8;755;74;
1083;Syddanmark;2020-03-12;F;5;0;2;8;760;76;
1084;Hovedstaden;2020-03-12;M;9;0;3;8;769;79;
1082;Midtjylland;2020-03-12;M;6;0;4;8;775;83;
1085;Sjælland;2020-03-12;M;5;0;3;8;780;86;
1083;Syddanmark;2020-03-12;M;3;0;0;8;783;86;
1084;Hovedstaden;2020-03-13;F;5;0;1;8;788;87;
1082;Midtjylland;2020-03-13;F;2;0;1;8;790;88;
1085;Sjælland;2020-03-13;F;1;0;1;8;791;89;
1083;Syddanmark;2020-03-13;F;1;1;1;9;792;90;
1084;Hovedstaden;2020-03-13;M;16;2;8;11;808;98;
1082;Midtjylland;2020-03-13;M;5;1;5;12;813;103;
1081;Nordjylland;2020-03-13;M;1;0;1;12;814;104;
1085;Sjælland;2020-03-13;M;2;0;1;12;816;105;
1084;Hovedstaden;2020-03-14;F;8;1;3;13;824;108;
1082;Midtjylland;2020-03-14;F;4;0;1;13;828;109;
1081;Nordjylland;2020-03-14;F;2;0;2;13;830;111;
1085;Sjælland;2020-03-14;F;3;0;3;13;833;114;
1083;Syddanmark;2020-03-14;F;2;0;1;13;835;115;
1084;Hovedstaden;2020-03-14;M;8;2;6;15;843;121;
1082;Midtjylland;2020-03-14;M;2;0;1;15;845;122;
1081;Nordjylland;2020-03-14;M;1;0;1;15;846;123;
1085;Sjælland;2020-03-14;M;4;1;1;16;850;124;
1083;Syddanmark;2020-03-14;M;3;0;2;16;853;126;
1084;Hovedstaden;2020-03-15;F;8;1;4;17;861;130;
1082;Midtjylland;2020-03-15;F;3;1;2;18;864;132;
1081;Nordjylland;2020-03-15;F;1;0;1;18;865;133;
1085;Sjælland;2020-03-15;F;6;0;2;18;871;135;
1083;Syddanmark;2020-03-15;F;1;0;1;18;872;136;
1084;Hovedstaden;2020-03-15;M;17;2;12;20;889;148;
1082;Midtjylland;2020-03-15;M;1;0;0;20;890;148;
1081;Nordjylland;2020-03-15;M;2;0;2;20;892;150;
1085;Sjælland;2020-03-15;M;4;2;3;22;896;153;
1083;Syddanmark;2020-03-15;M;2;0;2;22;898;155;
1084;Hovedstaden;2020-03-16;F;27;1;10;23;925;165;
