"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"Døde";"Indlagte";"Dato";"timestamp_2025-06-03T13:45:37.929"
;;;53;0;0;2025-06-03;
;;0-9;685;3;7;2025-06-03;
1084;Hovedstaden;0-9;120198;5;1129;2025-06-03;
1082;Midtjylland;0-9;79940;2;539;2025-06-03;
1081;Nordjylland;0-9;34441;1;356;2025-06-03;
1085;Sjælland;0-9;45218;0;420;2025-06-03;
1083;Syddanmark;0-9;73559;1;444;2025-06-03;
;;10-19;1056;0;5;2025-06-03;
1084;Hovedstaden;10-19;165640;1;469;2025-06-03;
1082;Midtjylland;10-19;126135;0;223;2025-06-03;
1081;Nordjylland;10-19;54519;4;133;2025-06-03;
1085;Sjælland;10-19;76158;0;195;2025-06-03;
1083;Syddanmark;10-19;111750;0;233;2025-06-03;
;;20-29;3818;4;23;2025-06-03;
1084;Hovedstaden;20-29;198258;9;1333;2025-06-03;
1082;Midtjylland;20-29;121350;1;698;2025-06-03;
1081;Nordjylland;20-29;52009;2;332;2025-06-03;
1085;Sjælland;20-29;53333;2;525;2025-06-03;
1083;Syddanmark;20-29;91075;11;680;2025-06-03;
;;30-39;4277;3;41;2025-06-03;
1084;Hovedstaden;30-39;185679;13;1795;2025-06-03;
1082;Midtjylland;30-39;110440;6;861;2025-06-03;
1081;Nordjylland;30-39;46470;3;389;2025-06-03;
1085;Sjælland;30-39;62269;5;684;2025-06-03;
1083;Syddanmark;30-39;93749;6;769;2025-06-03;
;;40-49;3653;7;48;2025-06-03;
1084;Hovedstaden;40-49;171802;31;1719;2025-06-03;
1082;Midtjylland;40-49;109914;16;874;2025-06-03;
1081;Nordjylland;40-49;46963;6;383;2025-06-03;
1085;Sjælland;40-49;71112;21;796;2025-06-03;
1083;Syddanmark;40-49;97853;19;836;2025-06-03;
;;50-59;2589;8;60;2025-06-03;
1084;Hovedstaden;50-59;140699;112;2656;2025-06-03;
1082;Midtjylland;50-59;98417;43;1349;2025-06-03;
1081;Nordjylland;50-59;45491;28;666;2025-06-03;
1085;Sjælland;50-59;69624;67;1282;2025-06-03;
1083;Syddanmark;50-59;94095;59;1465;2025-06-03;
;;60-69;1100;10;45;2025-06-03;
1084;Hovedstaden;60-69;83443;347;3630;2025-06-03;
1082;Midtjylland;60-69;68270;125;1871;2025-06-03;
1081;Nordjylland;60-69;33796;110;1167;2025-06-03;
1085;Sjælland;60-69;45601;174;1916;2025-06-03;
1083;Syddanmark;60-69;65346;180;2173;2025-06-03;
;;70-79;440;7;20;2025-06-03;
1084;Hovedstaden;70-79;54398;1032;6616;2025-06-03;
1082;Midtjylland;70-79;43464;392;3151;2025-06-03;
1081;Nordjylland;70-79;23139;306;2014;2025-06-03;
1085;Sjælland;70-79;31275;496;3524;2025-06-03;
1083;Syddanmark;70-79;43716;501;3808;2025-06-03;
;;80-89;149;11;14;2025-06-03;
1084;Hovedstaden;80-89;22991;1509;6476;2025-06-03;
1082;Midtjylland;80-89;14956;617;2768;2025-06-03;
1081;Nordjylland;80-89;8883;405;1904;2025-06-03;
1085;Sjælland;80-89;11407;642;3142;2025-06-03;
1083;Syddanmark;80-89;16970;802;3766;2025-06-03;
;;90+;47;4;0;2025-06-03;
1084;Hovedstaden;90+;6056;877;1953;2025-06-03;
1082;Midtjylland;90+;3236;347;735;2025-06-03;
1081;Nordjylland;90+;1881;245;447;2025-06-03;
1085;Sjælland;90+;2343;339;852;2025-06-03;
1083;Syddanmark;90+;3603;428;1001;2025-06-03;
