"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"timestamp_2026-03-24T12:42:04.204"
;;.;53;
;;00-02;210;
1084;Hovedstaden;00-02;21817;
1082;Midtjylland;00-02;12315;
1081;Nordjylland;00-02;5583;
1085;Sjælland;00-02;7456;
1083;Syddanmark;00-02;12733;
;;03-05;185;
1084;Hovedstaden;03-05;37201;
1082;Midtjylland;03-05;25171;
1081;Nordjylland;03-05;10660;
1085;Sjælland;03-05;13771;
1083;Syddanmark;03-05;22980;
;;06-11;519;
1084;Hovedstaden;06-11;96748;
1082;Midtjylland;06-11;67232;
1081;Nordjylland;06-11;28637;
1085;Sjælland;06-11;38524;
1083;Syddanmark;06-11;59584;
;;12-15;398;
1084;Hovedstaden;12-15;66669;
1082;Midtjylland;12-15;50798;
1081;Nordjylland;12-15;21881;
1085;Sjælland;12-15;30716;
1083;Syddanmark;12-15;45734;
;;16-19;736;
1084;Hovedstaden;16-19;63925;
1082;Midtjylland;16-19;50583;
1081;Nordjylland;16-19;22238;
1085;Sjælland;16-19;31000;
1083;Syddanmark;16-19;44296;
;;20-39;8378;
1084;Hovedstaden;20-39;384363;
1082;Midtjylland;20-39;231811;
1081;Nordjylland;20-39;98488;
1085;Sjælland;20-39;115688;
1083;Syddanmark;20-39;184869;
;;40-64;7060;
1084;Hovedstaden;40-64;361886;
1082;Midtjylland;40-64;246678;
1081;Nordjylland;40-64;111738;
1085;Sjælland;40-64;166626;
1083;Syddanmark;40-64;228531;
;;65-79;882;
1084;Hovedstaden;65-79;89820;
1082;Midtjylland;65-79;73609;
1081;Nordjylland;65-79;37885;
1085;Sjælland;65-79;51325;
1083;Syddanmark;65-79;72887;
;;80+;210;
1084;Hovedstaden;80+;29612;
1082;Midtjylland;80+;18292;
1081;Nordjylland;80+;10899;
1085;Sjælland;80+;13976;
1083;Syddanmark;80+;20825;
