"Regionskode";"Region";"Aldersgruppe";"Bekræftede tilfælde i alt";"timestamp_2026-04-07T11:37:13.257"
;;.;53;
;;00-02;210;
1084;Hovedstaden;00-02;21819;
1082;Midtjylland;00-02;12315;
1081;Nordjylland;00-02;5583;
1085;Sjælland;00-02;7456;
1083;Syddanmark;00-02;12733;
;;03-05;185;
1084;Hovedstaden;03-05;37201;
1082;Midtjylland;03-05;25172;
1081;Nordjylland;03-05;10660;
1085;Sjælland;03-05;13771;
1083;Syddanmark;03-05;22980;
;;06-11;519;
1084;Hovedstaden;06-11;96748;
1082;Midtjylland;06-11;67233;
1081;Nordjylland;06-11;28637;
1085;Sjælland;06-11;38524;
1083;Syddanmark;06-11;59584;
;;12-15;402;
1084;Hovedstaden;12-15;66668;
1082;Midtjylland;12-15;50798;
1081;Nordjylland;12-15;21881;
1085;Sjælland;12-15;30715;
1083;Syddanmark;12-15;45732;
;;16-19;738;
1084;Hovedstaden;16-19;63926;
1082;Midtjylland;16-19;50583;
1081;Nordjylland;16-19;22238;
1085;Sjælland;16-19;30999;
1083;Syddanmark;16-19;44296;
;;20-39;8380;
1084;Hovedstaden;20-39;384366;
1082;Midtjylland;20-39;231811;
1081;Nordjylland;20-39;98488;
1085;Sjælland;20-39;115689;
1083;Syddanmark;20-39;184868;
;;40-64;7062;
1084;Hovedstaden;40-64;361887;
1082;Midtjylland;40-64;246678;
1081;Nordjylland;40-64;111739;
1085;Sjælland;40-64;166628;
1083;Syddanmark;40-64;228533;
;;65-79;882;
1084;Hovedstaden;65-79;89830;
1082;Midtjylland;65-79;73609;
1081;Nordjylland;65-79;37886;
1085;Sjælland;65-79;51328;
1083;Syddanmark;65-79;72888;
;;80+;210;
1084;Hovedstaden;80+;29615;
1082;Midtjylland;80+;18293;
1081;Nordjylland;80+;10899;
1085;Sjælland;80+;13977;
1083;Syddanmark;80+;20827;
