"Regionskode";"Region";"Alders gruppe";"Indlæggelser";"timestamp_2025-10-28T10:00:08.409"
;;;0;
;;0-9;8;
1084;Hovedstaden;0-9;1175;
1082;Midtjylland;0-9;543;
1081;Nordjylland;0-9;365;
1085;Sjælland;0-9;431;
1083;Syddanmark;0-9;449;
;;10-19;5;
1084;Hovedstaden;10-19;475;
1082;Midtjylland;10-19;224;
1081;Nordjylland;10-19;133;
1085;Sjælland;10-19;199;
1083;Syddanmark;10-19;237;
;;20-29;25;
1084;Hovedstaden;20-29;1348;
1082;Midtjylland;20-29;703;
1081;Nordjylland;20-29;336;
1085;Sjælland;20-29;529;
1083;Syddanmark;20-29;684;
;;30-39;45;
1084;Hovedstaden;30-39;1806;
1082;Midtjylland;30-39;868;
1081;Nordjylland;30-39;393;
1085;Sjælland;30-39;693;
1083;Syddanmark;30-39;776;
;;40-49;49;
1084;Hovedstaden;40-49;1731;
1082;Midtjylland;40-49;879;
1081;Nordjylland;40-49;389;
1085;Sjælland;40-49;798;
1083;Syddanmark;40-49;843;
;;50-59;63;
1084;Hovedstaden;50-59;2679;
1082;Midtjylland;50-59;1355;
1081;Nordjylland;50-59;680;
1085;Sjælland;50-59;1305;
1083;Syddanmark;50-59;1484;
;;60-69;45;
1084;Hovedstaden;60-69;3687;
1082;Midtjylland;60-69;1885;
1081;Nordjylland;60-69;1191;
1085;Sjælland;60-69;1935;
1083;Syddanmark;60-69;2206;
;;70-79;22;
1084;Hovedstaden;70-79;6744;
1082;Midtjylland;70-79;3183;
1081;Nordjylland;70-79;2067;
1085;Sjælland;70-79;3557;
1083;Syddanmark;70-79;3882;
;;80-89;14;
1084;Hovedstaden;80-89;6616;
1082;Midtjylland;80-89;2816;
1081;Nordjylland;80-89;1964;
1085;Sjælland;80-89;3206;
1083;Syddanmark;80-89;3848;
;;90+;2;
1084;Hovedstaden;90+;1994;
1082;Midtjylland;90+;737;
1081;Nordjylland;90+;460;
1085;Sjælland;90+;864;
1083;Syddanmark;90+;1029;
