"Regionskode";"Region";"Alders gruppe";"Indlæggelser";"timestamp_2025-10-14T10:00:08.160"
;;;0;
;;0-9;8;
1084;Hovedstaden;0-9;1172;
1082;Midtjylland;0-9;543;
1081;Nordjylland;0-9;365;
1085;Sjælland;0-9;431;
1083;Syddanmark;0-9;449;
;;10-19;5;
1084;Hovedstaden;10-19;475;
1082;Midtjylland;10-19;224;
1081;Nordjylland;10-19;133;
1085;Sjælland;10-19;199;
1083;Syddanmark;10-19;237;
;;20-29;25;
1084;Hovedstaden;20-29;1347;
1082;Midtjylland;20-29;703;
1081;Nordjylland;20-29;335;
1085;Sjælland;20-29;529;
1083;Syddanmark;20-29;683;
;;30-39;45;
1084;Hovedstaden;30-39;1805;
1082;Midtjylland;30-39;867;
1081;Nordjylland;30-39;394;
1085;Sjælland;30-39;693;
1083;Syddanmark;30-39;775;
;;40-49;49;
1084;Hovedstaden;40-49;1727;
1082;Midtjylland;40-49;878;
1081;Nordjylland;40-49;389;
1085;Sjælland;40-49;798;
1083;Syddanmark;40-49;842;
;;50-59;63;
1084;Hovedstaden;50-59;2675;
1082;Midtjylland;50-59;1354;
1081;Nordjylland;50-59;678;
1085;Sjælland;50-59;1303;
1083;Syddanmark;50-59;1481;
;;60-69;45;
1084;Hovedstaden;60-69;3675;
1082;Midtjylland;60-69;1884;
1081;Nordjylland;60-69;1188;
1085;Sjælland;60-69;1934;
1083;Syddanmark;60-69;2201;
;;70-79;22;
1084;Hovedstaden;70-79;6711;
1082;Midtjylland;70-79;3173;
1081;Nordjylland;70-79;2055;
1085;Sjælland;70-79;3554;
1083;Syddanmark;70-79;3863;
;;80-89;14;
1084;Hovedstaden;80-89;6592;
1082;Midtjylland;80-89;2809;
1081;Nordjylland;80-89;1956;
1085;Sjælland;80-89;3198;
1083;Syddanmark;80-89;3827;
;;90+;1;
1084;Hovedstaden;90+;1986;
1082;Midtjylland;90+;738;
1081;Nordjylland;90+;459;
1085;Sjælland;90+;864;
1083;Syddanmark;90+;1023;
